keyword,title,price,likes,views,brand,country,url
Crocs femme,Ballerines Crocs comme neuves,13.0,8,0,Crocs,,https://www.vinted.fr/items/8872169686
Crocs femme,Ballerines Crocs - bleu blanc rouge - W8 - taille 39,15.0,25,0,Crocs,,https://www.vinted.fr/items/8870872201
Crocs femme,Sandales Crocs T. 37-38,15.0,57,0,Crocs,,https://www.vinted.fr/items/8873433494
Crocs femme,crocs,25.0,31,0,Crocs,,https://www.vinted.fr/items/8854334887
Crocs femme,Crocs originales grises à paillettes,12.0,25,0,Crocs,,https://www.vinted.fr/items/8847311563
Crocs femme,Crocs,15.0,3,0,Crocs,,https://www.vinted.fr/items/8874590333
Crocs femme,Crocs blanche,35.0,61,0,Crocs,,https://www.vinted.fr/items/8859662131
Crocs femme,Crocs moumoute noir,15.0,20,0,Crocs,,https://www.vinted.fr/items/8837276684
Crocs femme,Crocs ballerines noires,18.0,6,0,Crocs,,https://www.vinted.fr/items/8870513838
Crocs femme,Ciabatte,35.0,0,0,Crocs,,https://www.vinted.fr/items/8874817921
Crocs femme,Crocs plate-forme argentée paillette,45.0,46,0,Crocs,,https://www.vinted.fr/items/8871812397
Crocs femme,Crocs novas nunca usadas,30.0,17,0,Crocs,,https://www.vinted.fr/items/8869671033
Crocs femme,Hausschuhe,15.0,0,0,Crocs,,https://www.vinted.fr/items/8874774694
Crocs femme,Crocs toddler,2.5,15,0,Crocs,,https://www.vinted.fr/items/8852158639
Crocs femme,Crocs Bubble Crush Clog Triple Black,60.0,41,0,Crocs,,https://www.vinted.fr/items/8571371623
Crocs femme,Clips Jibbitz crocs,7.0,42,0,Crocs,,https://www.vinted.fr/items/8756682427
Crocs femme,Crocs à plateforme,30.0,29,0,Crocs,,https://www.vinted.fr/items/8869266251
Crocs femme,Crocs roze M9 W11 maat 42/43,25.0,10,0,Crocs,,https://www.vinted.fr/items/8872660608
Crocs femme,Lot de 10 pins pour crocs,20.0,25,0,Crocs,,https://www.vinted.fr/items/8860746399
Crocs femme,Crocs noir,40.0,36,0,Crocs,,https://www.vinted.fr/items/8859292601
Crocs femme,Crocs femme caged mules,45.0,6,0,Crocs,,https://www.vinted.fr/items/8871899274
Crocs femme,white crocs,15.0,37,0,Crocs,,https://www.vinted.fr/items/8773031093
Crocs femme,Crocs kitchen shoes,48.0,50,0,Crocs,,https://www.vinted.fr/items/8776638317
Crocs femme,Crocs rose à paillettes,5.0,15,0,Crocs,,https://www.vinted.fr/items/8866059453
Crocs femme,Crocs beige mixte neuf original pt 40,32.0,76,0,Crocs,,https://www.vinted.fr/items/8807118403
Crocs femme,crocs,25.0,31,0,Crocs,,https://www.vinted.fr/items/8854334887
Crocs femme,white crocs,15.0,37,0,Crocs,,https://www.vinted.fr/items/8773031093
Crocs femme,Crocs blanche,30.0,52,0,Crocs,,https://www.vinted.fr/items/8856973523
Crocs femme,Crocs ballerines noires,18.0,6,0,Crocs,,https://www.vinted.fr/items/8870513838
Crocs femme,Crocs à plateforme,30.0,29,0,Crocs,,https://www.vinted.fr/items/8869266251
Crocs femme,Crocs mules taille 36,15.0,21,0,Crocs,,https://www.vinted.fr/items/8861375419
Crocs femme,Croc’s Rose pale - Barely pink,28.0,9,0,Crocs,,https://www.vinted.fr/items/8873607630
Crocs femme,Vends belle paire de Crocs,25.0,4,0,Crocs,,https://www.vinted.fr/items/8872988429
Crocs femme,Crocs Cleo 9 39/40 schwarz Badeschuhe neu,18.0,7,0,Crocs,,https://www.vinted.fr/items/8873132099
Crocs femme,Crocs plateforme,35.0,32,0,Crocs,,https://www.vinted.fr/items/8845726089
Crocs femme,Crocs femme,30.0,39,0,Crocs,,https://www.vinted.fr/items/8851064012
Crocs femme,Crocs UK9,15.0,26,0,Crocs,,https://www.vinted.fr/items/8766776744
Crocs femme,Sandalias Crocs,19.0,21,0,Crocs,,https://www.vinted.fr/items/8870581860
Crocs femme,Crocs,18.0,32,0,Crocs,,https://www.vinted.fr/items/8857299290
Crocs femme,Crocs CARS taille 38/39 -> M6/W8,40.0,33,0,Crocs,,https://www.vinted.fr/items/8859696807
Crocs femme,Crocs,30.0,14,0,Crocs,,https://www.vinted.fr/items/8863261764
Crocs femme,Crocs plate-forme,40.0,2,0,Crocs,,https://www.vinted.fr/items/8874082704
