keyword,title,price,likes,views,brand,country,url,status,sold_confirmed,offers,published_at,age_hours,age_band,score,verdict
stanley bottle,Brand New Stanley IceFlow Flip Straw Tumbler 30oz / 887ml,50.0,20,0,Stanley,,https://www.vinted.fr/items/9129152474,active,False,0,2026-06-10 06:50:08 CEST,48.0,72h,2,📊 Monitoring
stanley bottle,Stanley water bottle,25.0,6,0,Stanley,,https://www.vinted.fr/items/9128985648,active,False,0,2026-06-10 06:50:12 CEST,48.0,72h,2,📊 Monitoring
stanley bottle,Stanley Quench Tumbler 40oz | Insulated Travel Mug | New,30.5,25,0,Stanley,,https://www.vinted.fr/items/9125363646,active,False,0,2026-06-09 06:50:18 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley crossbodytas,30.0,35,0,Stanley,,https://www.vinted.fr/items/9128733028,active,False,0,2026-06-10 06:50:18 CEST,48.0,72h,2,📊 Monitoring
stanley bottle,Stanley 1913 Classic Bottle 1LT - 24Hr Hot or Cold,52.0,3,0,Stanley,,https://www.vinted.fr/items/9126769843,active,False,0,2026-06-10 06:50:25 CEST,48.0,72h,2,📊 Monitoring
stanley bottle,"Stanley | Slim Bottle | 0,6L | Nieuw",32.0,15,0,Stanley,,https://www.vinted.fr/items/9125135958,active,False,0,2026-06-09 06:50:29 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,"Stanley | Slim Bottle | 0,6L | Nieuw",32.0,19,0,Stanley,,https://www.vinted.fr/items/9125142362,active,False,0,2026-06-09 06:50:29 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley,4.5,8,0,Stitch,,https://www.vinted.fr/items/9142189392,active,False,0,2026-06-11 06:50:35 CEST,24.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley Classic Bottle 1 Liter,55.0,2,0,Stanley,,https://www.vinted.fr/items/9123185062,active,False,0,2026-06-09 06:50:41 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley bottle,50.0,15,0,Stanley,,https://www.vinted.fr/items/9124752744,active,False,0,2026-06-09 06:50:42 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,tyla x stanley special edition brand new tumbler,65.0,28,0,Stanley,,https://www.vinted.fr/items/9121468209,active,False,0,2026-06-09 06:50:46 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley Cup black 30oz,30.0,13,0,Stanley,,https://www.vinted.fr/items/9123216117,active,False,0,2026-06-09 06:50:51 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley cup,30.0,6,0,Stanley,,https://www.vinted.fr/items/9122434152,active,False,0,2026-06-09 06:50:52 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley cup,35.0,4,0,Stanley,,https://www.vinted.fr/items/9122212374,active,False,0,2026-06-09 06:50:57 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley All day slim bottle,25.0,12,0,Stanley,,https://www.vinted.fr/items/9120806469,active,False,0,,24.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley cup,35.0,4,0,Stanley,,https://www.vinted.fr/items/9122420586,active,False,0,,24.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley cup,30.0,6,0,Stanley,,https://www.vinted.fr/items/9122095654,active,False,0,2026-06-09 06:51:06 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,"Stanley x LoveShackFancy Quencher H2.0 FlowState Tumbler 1,18L Rosa Schleifenmuster",80.0,54,0,Stanley,,https://www.vinted.fr/items/9120601240,active,False,0,2026-06-09 06:51:13 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley cup,30.0,5,0,Stanley,,https://www.vinted.fr/items/9118767025,active,False,0,2026-06-09 06:51:13 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley Cup,37.0,43,0,Stanley,,https://www.vinted.fr/items/9114480608,active,False,0,2026-06-08 06:51:20 CEST,96.0,1 week,0,⚠️ Low
stanley bottle,Stanley Cup,30.0,1,0,Stanley,,https://www.vinted.fr/items/9119906877,active,False,0,2026-06-09 06:51:25 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley thermos  25 oz 750 ml Kanne legendary classic bottle flasche,35.0,21,0,Stanley,,https://www.vinted.fr/items/9115392248,active,False,0,2026-06-08 06:51:25 CEST,96.0,1 week,0,⚠️ Low
stanley bottle,Stanley,20.0,0,0,Stanley,,https://www.vinted.fr/items/9120772934,active,False,0,2026-06-09 06:51:31 CEST,72.0,72h,2,📊 Monitoring
stanley bottle,Stanley,30.0,3,0,Stanley,,https://www.vinted.fr/items/9116125879,active,False,0,2026-06-08 06:51:41 CEST,96.0,1 week,0,⚠️ Low
